PA Code,NSC Code,NCES Code,AUN Code,ULCS Code,SRC School ID,School Name (ULCS),Publication Name,Publication Name Alpha List,Abbreviated Name,Year Opened,School Level,Admission Type,Current Grade Span Served,Grade Span at Scale,Phasing-In,Phasing-Out,Governance,Management Organization,School Reporting Category,Alternate Education Type,Major Intervention,Major Intervention Year,Community School Cohort,CTE Status,Title I Designation,Federal Accountability Designation,Active SAC,City Council District,GPS Location,Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Website,School Leader Name,Learning Network,Assistant Superintendent,FACE Liaison Name,FACE Liaison Email,FACE Liaison Phone Number,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
3782,N/A,421899003782,126515001,1260,126,B. B. COMEGYS SCHOOL,Benjamin B. Comegys School,"Comegys, Benjamin B. School",Comegys,1911,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.940520, -75.216289",N/A,5100 GREENWAY AVE.,PHILADELPHIA,PA,19143,215-400-7860,215-400-7861,http://philasd.org/comegys/,RAUCHAUN DUPREE,Network 10,JESSICA RAMOS,Lorna Gil,lgil@philasd.org,215-400-5859,1,1,1,1,1,1,1,1,1,0,0,0,0
7706,N/A,421899000619,126515001,1280,128,PENN ALEXANDER SCHOOL,Sadie Alexander School,Penn Alexander School,Penn Alexander,2001,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.953099, -75.208187",N/A,4209 SPRUCE ST.,PHILADELPHIA,PA,19104,215-400-7760,215-400-7761,http://philasd.org/pennalexander,MICHAEL FARRELL,Network 2,RAHSHENE DAVIS-BOWIE,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,1,1,1,1,1,1,1,1,1,0,0,0,0
5185,N/A,421899005185,126515001,1290,129,ANDREW HAMILTON SCHOOL,Andrew Hamilton School,"Hamilton, Andrew School",Hamilton,1970,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.955438, -75.235543",N/A,5640 SPRUCE ST.,PHILADELPHIA,PA,19139,215-400-7650,215-400-7651,http://philasd.org/hamilton,FATIMA SMITH,Network 2,RAHSHENE DAVIS-BOWIE,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,1,1,1,1,1,1,1,1,1,0,0,0,0
6528,N/A,421899006528,126515001,1300,130,A. D. HARRINGTON SCHOOL,Avery D. Harrington School,"Harrington, Avery D. School",Harrington,1927,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.94736517, -75.23059508",N/A,5300 BALTIMORE AVE.,PHILADELPHIA,PA,19143,215-400-7920,215-400-7921,http://philasd.org/harrington,JOE DIXON,Network 2,RAHSHENE DAVIS-BOWIE,LuQman Abdullah,labdullah@philasd.org,215-400-5852,1,1,1,1,1,1,1,1,1,0,0,0,0
6530,N/A,421899006530,126515001,1340,134,HENRY C. LEA SCHOOL,Henry C. Lea School,"Lea, Henry C. School",Lea,1914,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.954515, -75.216347",N/A,4700 LOCUST ST.,PHILADELPHIA,PA,19139,215-400-7660,215-400-7661,http://philasd.org/lea,SHAVON SAVAGE,Network 2,RAHSHENE DAVIS-BOWIE,Angela Butler,abutler@philasd.org,215-400-5856,1,1,1,1,1,1,1,1,1,0,0,0,0
6533,N/A,421899006533,126515001,1350,135,W C LONGSTRETH SCHOOL,William C. Longstreth School,"Longstreth, William C. School",Longstreth,1971,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.94090823, -75.23237316",N/A,5700 WILLOWS AVE.,PHILADELPHIA,PA,19143,215-400-7870,215-400-7871,http://philasd.org/longstreth,TISHA DOUGLAS,Network 12,RIKKI HUNT-TAYLOR,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,1,1,1,1,1,1,1,1,1,0,0,0,0
3611,N/A,421899003611,126515001,1360,136,MORTON MC MICHAEL SCHOOL,Morton McMichael School,"McMichael, Morton School",McMichael,1963,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2013-2014,N/A,TBA,1,TBA,TBA,3,"39.96619727, -75.19411487",N/A,3543 FAIRMOUNT AVE.,PHILADELPHIA,PA,19104,215-400-7750,215-400-7751,http://philasd.org/mcmichael,BRIAN WALLACE,Acceleration,ERIC BECOATS,Chi Cao,chcao@philasd.org,215-400-7750,1,1,1,1,1,1,1,1,1,0,0,0,0
3798,N/A,421899003798,126515001,1370,137,S. WEIR MITCHELL,S. Weir Mitchell School,"Mitchell, S. Weir Elementary School",Mitchell,1916,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2016-2017,N/A,TBA,1,TBA,TBA,3,"39.93681427, -75.223291",N/A,5500 KINGSESSING AVE.,PHILADELPHIA,PA,19143,215-400-7880,215-400-7881,http://philasd.org/mitchell,STEPHANIE ANDREWLEVICH,Acceleration,ERIC BECOATS,Xiomara Daye,xdaye@philasd.org,215-400-7880,1,1,1,1,1,1,1,1,1,0,0,0,0
6535,N/A,421899006535,126515001,1380,138,THOMAS G MORTON SCHOOL,Thomas G. Morton School,"Morton, Thomas G. School",Morton,1971,Elementary,Neighborhood,00-05,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.92346826, -75.22690015",N/A,2501 S. 63RD ST.,PHILADELPHIA,PA,19142,215-400-8160,215-400-8161,http://philasd.org/morton,LACHANTE COLLIER-BACON,Network 12,RIKKI HUNT-TAYLOR,Angela Butler,abutler@philasd.org,215-400-5856,1,1,1,1,1,1,0,0,0,0,0,0,0
3783,N/A,421899003783,126515001,1390,139,SAMUEL POWEL SCHOOL,Samuel Powel School,"Powel, Samuel School",Powel,1961,Elementary,Neighborhood,00-04,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.9599324, -75.19370686",N/A,301 N. 36TH ST.,PHILADELPHIA,PA,19104,215-400-7740,215-400-7741,http://philasd.org/powel/,KIMBERLY ELLERBEE,Network 2,RAHSHENE DAVIS-BOWIE,Dalila Bedoya,dbedoya@philasd.org,215-400-5866,1,1,1,1,1,0,0,0,0,0,0,0,0
3613,N/A,421899003613,126515001,1400,140,JOHN M PATTERSON SCHOOL,John M. Patterson School,"Patterson, John M. School",Patterson,1921,Elementary,Neighborhood,00-04,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.916095, -75.236762",N/A,7000 BUIST AVE.,PHILADELPHIA,PA,19142,215-400-8190,215-400-8191,http://philasd.org/patterson,KENNETH JESSUP,Network 10,JESSICA RAMOS,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,1,1,1,1,1,0,0,0,0,0,0,0,0
3614,N/A,421899003614,126515001,1410,141,JAMES RHOADS SCHOOL,James Rhoads School,"Rhoads, James School",Rhoads,1960,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.967339, -75.220063",N/A,4901 PARRISH ST.,PHILADELPHIA,PA,19139,215-400-7680,215-400-7681,http://philasd.org/rhoads,KELLY PARKER,Acceleration,ERIC BECOATS,Robert Benjamin,rbenjamin2@philasd.org,215-400-7680,1,1,1,1,1,1,1,1,1,0,0,0,0
3615,N/A,421899003615,126515001,1420,142,M. WASHINGTON ACADEMICS PLUS,Martha Washington School,"Washington, Martha School","Washington, Martha",1930,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.966206, -75.211179",N/A,766 N. 44TH ST.,PHILADELPHIA,PA,19104,215-400-7770,215-400-7771,http://philasd.org/mwashington/,ALLAYNA RATLIFF,Network 2,RAHSHENE DAVIS-BOWIE,Angela Butler,abutler@philasd.org,215-400-5856,1,1,1,1,1,1,1,1,1,0,0,0,0
3616,N/A,421899003616,126515001,1440,144,PENROSE SCHOOL,Penrose School,Penrose School,Penrose,1971,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.90692358, -75.24865833",N/A,2515 S. 78TH ST.,PHILADELPHIA,PA,19153,215-400-8310,215-400-8311,http://philasd.org/penrose,CAROL TRENCH,Network 10,JESSICA RAMOS,Angela Butler,abutler@philasd.org,215-400-5856,1,1,1,1,1,1,1,1,1,0,0,0,0
3804,N/A,421899003804,126515001,1460,146,ADD B ANDERSON SCHOOL,Add B. Anderson School,"Anderson, Add B. School",Anderson,1963,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.946726, -75.245717",N/A,1034 S. 60TH ST.,PHILADELPHIA,PA,19143,215-400-7890,215-400-7891,http://philasd.org/anderson,LAURENA TOLSON,Network 2,RAHSHENE DAVIS-BOWIE,LuQman Abdullah,labdullah@philasd.org,215-400-5852,1,1,1,1,1,1,1,1,1,0,0,0,0
4732,N/A,421899004732,126515001,1470,147,ALAIN LOCKE SCHOOL,Alain Locke School,"Locke, Alain School",Locke,1964,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.96262376, -75.21245097",N/A,4550 HAVERFORD AVE.,PHILADELPHIA,PA,19139,215-400-7670,215-400-7671,http://philasd.org/locke/,KATHERINE MCKELLAR CARTER,Network 2,RAHSHENE DAVIS-BOWIE,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,1,1,1,1,1,1,1,1,1,0,0,0,0
3663,N/A,421899003663,126515001,1490,149,"BLANKENBURG, RUDOLPH SCHOOL",Rudolph Blankenburg School,"Blankenburg, Rudolph School",Blankenburg,1925,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2017-2018,N/A,TBA,1,TBA,TBA,4,"39.97296312, -75.21388868",N/A,4600 W. GIRARD AVE.,PHILADELPHIA,PA,19131,215-400-7280,215-400-7281,http://philasd.org/blankenburg/,LEANDREA BALTIMORE-HAGAN,Acceleration,ERIC BECOATS,Evelyn Lovett,elovett@philasd.org,215-400-7910,1,1,1,1,1,1,1,1,1,0,0,0,0
7022,N/A,421899007223,126515001,1580,158,MIDDLE YEARS ALTERNATIVE-MYA,Middle Years Alternative School,Middle Years Alternative (MYA) School,MYA,1972,Middle,Citywide,05-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.96425379, -75.21546704",N/A,4725 FAIRMOUNT AVE.,PHILADELPHIA,PA,19139,215-400-7720,215-400-7721,http://philasd.org/mya,SHAKAE DUPRE,Network 2,RAHSHENE DAVIS-BOWIE,Asazina Cooper,aycooper@philasd.org,215-400-5855,0,0,0,0,0,1,1,1,1,0,0,0,0
3859,N/A,421899003859,126515001,2000,200,SOUTH PHILADELPHIA H.S.,South Philadelphia High School,South Philadelphia High School,South Philadelphia,1957,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,1,"39.9238987, -75.1691065",N/A,2101 S. BROAD ST.,PHILADELPHIA,PA,19148,215-400-8400,215-400-8401,http://philasd.org/sphs/,KIMLIME CHEK-TAYLOR,Network 13,CHERYL PROCTOR,Angela Butler,abutler@philasd.org,215-400-5856,0,0,0,0,0,0,0,0,0,1,1,1,1
3851,N/A,421899003851,126515001,2010,201,BENJAMIN FRANKLIN HIGH SCHOOL,Benjamin Franklin High School,"Franklin, Benjamin High School",Franklin HS,1958,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,5,"39.963530, -75.161640",N/A,550 N. BROAD ST.,PHILADELPHIA,PA,19130,215-400-7600,215-400-7601,http://philasd.org/bfhs/,CHRISTINE BORELLI,Network 3,SONYA HARRISON,Dalila Bedoya,dbedoya@philasd.org,215-400-5866,0,0,0,0,0,0,0,0,0,1,1,1,1
6996,N/A,421899006996,126515001,2020,202,CREATIVE AND PERFORMING ARTS,High School for Creative and Performing Arts School,Creative and Performing Arts (CAPA) High School,CAPA,1997,High,Special Admit,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.93941992, -75.16548375",N/A,901 S. BROAD ST.,PHILADELPHIA,PA,19147,215-400-8140,215-400-8141,http://philasd.org/capa/,JOANNE BEAVER,Network 1,DEB CARRERA,Dorian Harris,dharris4@philasd.org,215-400-5865,0,0,0,0,0,0,0,0,0,1,1,1,1
8387,N/A,421899007592,126515001,2050,205,SCIENCE LEADERSHIP ACADEMY MS,Science Leadership Academy Middle School,Science Leadership Academy Middle School (SLAMS),SLAMS,2016,Middle,Neighborhood,05-07,05-08,1,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.96299243, -75.19362923",N/A,3600 MARKET ST.,PHILADELPHIA,PA,19104,215-400-8320,N/A,http://philasd.org/slams,TIMOTHY BOYLE,Innovation,CHRISTINA GRANT,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,0,0,0,0,0,1,1,1,0,0,0,0,0
3808,N/A,421899003808,126515001,2140,214,JULIA R. MASTERMAN HIGH SCHOOL,Julia R. Masterman School,"Masterman, Julia R. High School",Masterman,1933,Middle-High,Special Admit,05-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,5,"39.96320031, -75.16620758",N/A,1699 SPRING GARDEN ST.,PHILADELPHIA,PA,19130,215-400-7580,215-400-7581,http://philasd.org/masterman/,JESSICA BROWN,Network 1,DEB CARRERA,Melanie Oeun-Greenhalgh,noeun@philasd.org,215-400-5879,0,0,0,0,0,1,1,1,1,1,1,1,1
3818,N/A,421899003818,126515001,2160,216,"FURNESS, HORACE HIGH SCHOOL",Furness High School,"Furness, Horace High School",Furness,1912,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,1,"39.923762, -75.150585",N/A,1900 S. 3RD ST.,PHILADELPHIA,PA,19148,215-400-8300,215-400-8301,http://philasd.org/furness,DANIEL PEOU,Network 13,CHERYL PROCTOR,Melanie Wright,mrwright@philasd.org,215-400-5861,0,0,0,0,0,0,0,0,0,1,1,1,1
7226,N/A,421899003639,126515001,2190,219,D. NEWLIN FELL SCHOOL,D. Newlin Fell School,"Fell, D. Newlin School",Fell,1924,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.91558638, -75.16300858",N/A,900 W. OREGON AVE.,PHILADELPHIA,PA,19148,215-400-8260,215-400-8261,http://philasd.org/fell/,OMAHR ASHE,Network 10,JESSICA RAMOS,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,1,1,1,1,1,1,1,1,1,0,0,0,0
3618,N/A,421899003618,126515001,2210,221,BACHE-MARTIN SCHOOL,Bache-Martin School,Bache-Martin School,Bache-Martin,1906,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,5,"39.96967782, -75.17384692",N/A,2201 BROWN ST.,PHILADELPHIA,PA,19130,215-400-7550,215-400-7551,http://philasd.org/bachemartin,MARK VITVITSKY,Network 3,SONYA HARRISON,Krystal Clark,klclark@philasd.org,215-400-5857,1,1,1,1,1,1,1,1,1,0,0,0,0
3620,N/A,421899003620,126515001,2240,224,AMEDEE F BREGY SCHOOL,F. Amedee Bregy School,"Bregy, F. Amedee School",Bregy,1923,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.914699, -75.176674",N/A,1700 BIGLER ST.,PHILADELPHIA,PA,19145,215-400-8210,215-400-8211,http://philasd.org/bregy/,SHAKEERA WARTHEN,Network 12,RIKKI HUNT-TAYLOR,LuQman Abdullah,labdullah@philasd.org,215-400-5852,1,1,1,1,1,1,1,1,1,0,0,0,0
3622,N/A,421899003622,126515001,2260,226,GEORGE W CHILDS SCHOOL,George W. Childs School,"Childs, George W. School",Childs,1927,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.934637, -75.170493",N/A,1599 WHARTON ST.,PHILADELPHIA,PA,19146,215-400-7950,215-400-7951,http://philasd.org/childs/,EILEEN COUTTS,Network 12,RIKKI HUNT-TAYLOR,LuQman Abdullah,labdullah@philasd.org,215-400-5852,1,1,1,1,1,1,1,1,1,0,0,0,0
6822,N/A,421899006822,126515001,2290,229,FRANKLIN LEARNING CENTER,Franklin Learning Center,Franklin Learning Center (FLC),FLC,1978,High,Special Admit,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,5,"39.965049, -75.162753",N/A,616 N. 15TH ST.,PHILADELPHIA,PA,19130,215-400-7570,215-400-7571,http://philasd.org/flc,NICOLE LEE,Network 3,SONYA HARRISON,Dalila Bedoya,dbedoya@philasd.org,215-400-5866,0,0,0,0,0,0,0,0,0,1,1,1,1
9999,N/A,N/A,126515001,2310,231,CAMELOT ACADEMY,Camelot Academy,Camelot Academy,Camelot,2004,Middle-High,Alternative,06-12,N/A,0,0,Contracted,Camelot Education,Alternate Schools,AEDY,N/A,N/A,N/A,TBA,N/A,TBA,TBA,5,"39.978134, -75.177658",N/A,1435 N. 26TH ST.,PHILADELPHIA,PA,19121,215-684-5080,215-684-8961,http://cameloteducation.org/our-schools/transitional-schools/camelot-academy-of-philadelphia,ALYSSA BOYLE,Opportunity,DAWNLYNNE KACER,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,1,1,1
3776,N/A,421899003776,126515001,2320,232,STEPHEN GIRARD SCHOOL,Stephen Girard School,"Girard, Stephen School",Girard,1959,Elementary,Neighborhood,00-04,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.925059, -75.176611",N/A,1800 SNYDER AVE.,PHILADELPHIA,PA,19145,215-400-8180,215-400-8181,http://philasd.org/girard,LEAH COLEMAN,Network 12,RIKKI HUNT-TAYLOR,Carmen Colon,ccolon@philasd.org,215-400-5877,1,1,1,1,1,0,0,0,0,0,0,0,0
3648,N/A,421899003648,126515001,2340,234,"MC CALL, GEN. GEORGE A. SCHOOL",General George A. McCall School,"McCall, General George A. School",McCall,1909,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,1,"39.944635, -75.153180",N/A,325 S. 7TH ST.,PHILADELPHIA,PA,19106,215-400-7840,215-400-7841,http://philasd.org/mccall/,STEPHANIE MCKENNA,Network 3,SONYA HARRISON,Asazina Cooper,aycooper@philasd.org,215-400-5855,1,1,1,1,1,1,1,1,1,0,0,0,0
3629,N/A,421899003629,126515001,2370,237,DELAPLAINE MCDANIEL SCHOOL,Delaplaine McDaniel School,"McDaniel, Delaplaine School",McDaniel,1937,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.929592, -75.181793",N/A,1801 S. 22ND ST.,PHILADELPHIA,PA,19145,215-400-8220,215-400-8221,http://philasd.org/mcdaniel,ANASTASIA RILEY,Network 12,RIKKI HUNT-TAYLOR,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,1,1,1,1,1,1,1,1,1,0,0,0,0
